project,ratio_C,ratio_T
commons-imaging-1.0-alpha3-src,0.3,0.3
spark,0.36,0.36
commons-lang3-3.12.0-src,0.2,0.2
http-request,0.27,0.27
commons-geometry-1.0-src,0.33,0.33
springside4,0.25,0.25
commons-jexl3-3.2.1-src,0.27,0.27
joda-time,0.29,0.29
async-http-client,0.38,0.38
JSON-java,0.23,0.23
bcel-6.5.0-src,0.28,0.28
commons-weaver-2.0-src,0.34,0.34
commons-numbers-1.0-src,0.16,0.16
commons-collections4-4.4-src,0.45,0.45
jsoup,0.08,0.08
commons-jcs3-3.1-src,0.32,0.32
commons-validator-1.7,0.28,0.28
commons-net-3.8.0,0.32,0.32
commons-beanutils-1.9.4,0.24,0.24
commons-pool2-2.11.1-src,0.41,0.41
commons-rng-1.4-src,0.28,0.28
commons-configuration2-2.8.0-src,0.28,0.28
commons-vfs-2.9.0,0.33,0.33
scribejava,0.32,0.32
commons-dbutils-1.7,0.31,0.31
